ds,yhat,yhat_lower,yhat_upper,Product,Warehouse
2022-04-08 23:59:59,2794.487485696052,2467.6212532534973,3133.0545742156582,HOME CARE_F-1AGL,Flipkart FC - Nellore
2022-04-09 23:59:59,3259.4356172940775,2965.2982249379365,3585.5670246119216,HOME CARE_F-1AGL,Flipkart FC - Nellore
2022-04-10 23:59:59,3724.3837488921035,3420.933930575727,4058.517481171539,HOME CARE_F-1AGL,Flipkart FC - Nellore
2022-04-11 23:59:59,4189.331880490129,3884.8174922016537,4511.703667811826,HOME CARE_F-1AGL,Flipkart FC - Nellore
2022-04-12 23:59:59,4654.280012088156,4362.891116245332,4981.372773289772,HOME CARE_F-1AGL,Flipkart FC - Nellore
2022-04-13 23:59:59,5119.228143686181,4779.620569644453,5429.950462046844,HOME CARE_F-1AGL,Flipkart FC - Nellore
2022-04-14 23:59:59,5584.176275284207,5257.052430442174,5921.692108609914,HOME CARE_F-1AGL,Flipkart FC - Nellore
