ds,yhat,yhat_lower,yhat_upper,Product,Warehouse
2022-04-08 23:59:59,981.2687550389551,719.729597140223,1243.295289959907,GROCERY I_M-0361,Flipkart FC - Salem
2022-04-09 23:59:59,1179.3773100584324,929.2607035324072,1452.7186146290235,GROCERY I_M-0361,Flipkart FC - Salem
2022-04-10 23:59:59,1377.48586507791,1121.1667052869932,1620.8103209713802,GROCERY I_M-0361,Flipkart FC - Salem
2022-04-11 23:59:59,1575.5944200973875,1322.6191603150874,1829.101923068745,GROCERY I_M-0361,Flipkart FC - Salem
2022-04-12 23:59:59,1773.702975116865,1495.7666041926805,2034.1809763445,GROCERY I_M-0361,Flipkart FC - Salem
2022-04-13 23:59:59,1971.8115301363423,1709.2953031498714,2227.1229679377134,GROCERY I_M-0361,Flipkart FC - Salem
2022-04-14 23:59:59,2169.92008515582,1909.2311372496974,2427.9721142158655,GROCERY I_M-0361,Flipkart FC - Salem
