ds,yhat,yhat_lower,yhat_upper,Product,Warehouse
2022-04-07 19:00:00,10194.981107810403,9460.868454407897,10884.395487150508,BEAUTY_E-0838,Delhivery Warehouse - Jodhpur
2022-04-08 19:00:00,14500.746155715604,13778.039877343557,15209.167039331564,BEAUTY_E-0838,Delhivery Warehouse - Jodhpur
2022-04-09 19:00:00,18806.511203620805,18091.865180605986,19476.720505663397,BEAUTY_E-0838,Delhivery Warehouse - Jodhpur
2022-04-10 19:00:00,23112.276251526007,22446.346795803936,23828.5264469706,BEAUTY_E-0838,Delhivery Warehouse - Jodhpur
2022-04-11 19:00:00,27418.041299431214,26745.556619819905,28086.1147516238,BEAUTY_E-0838,Delhivery Warehouse - Jodhpur
2022-04-12 19:00:00,31723.806347336413,31002.714856549133,32421.924410304488,BEAUTY_E-0838,Delhivery Warehouse - Jodhpur
2022-04-13 19:00:00,36029.57139524162,35305.63502707708,36760.490609511704,BEAUTY_E-0838,Delhivery Warehouse - Jodhpur
