ds,yhat,yhat_lower,yhat_upper,Product,Warehouse
2022-04-07 23:59:00,-113.3510404920757,-337.1083661027986,109.62971555255706,LADIESWEAR_E-0767,Amazon FC - Vijayawada
2022-04-08 23:59:00,-458.48959273819764,-672.2723339120316,-232.33246176081568,LADIESWEAR_E-0767,Amazon FC - Vijayawada
2022-04-09 23:59:00,-803.6281449843195,-1025.552332714689,-581.0396514839034,LADIESWEAR_E-0767,Amazon FC - Vijayawada
2022-04-10 23:59:00,-1148.7666972304414,-1355.76983638372,-934.4999137023904,LADIESWEAR_E-0767,Amazon FC - Vijayawada
2022-04-11 23:59:00,-1493.9052494765635,-1709.6365267158124,-1277.1660279101081,LADIESWEAR_E-0767,Amazon FC - Vijayawada
2022-04-12 23:59:00,-1839.0438017226852,-2054.213530508257,-1629.0553804852054,LADIESWEAR_E-0767,Amazon FC - Vijayawada
2022-04-13 23:59:00,-2184.182353968807,-2400.491438358996,-1957.723149240142,LADIESWEAR_E-0767,Amazon FC - Vijayawada
