ds,yhat,yhat_lower,yhat_upper,Product,Warehouse
2022-04-08 23:59:59,3618.99835,3506.4841276104066,3735.5681635834276,AUTOMOTIVE_B-6128,Blue Dart Hub - Siliguri
2022-04-09 23:59:59,4607.998015,4222.837249633049,4981.560334976268,AUTOMOTIVE_B-6128,Blue Dart Hub - Siliguri
2022-04-10 23:59:59,5596.99768,4841.428484776344,6289.507515457329,AUTOMOTIVE_B-6128,Blue Dart Hub - Siliguri
2022-04-11 23:59:59,6585.997344999999,5358.817200075994,7756.168375613821,AUTOMOTIVE_B-6128,Blue Dart Hub - Siliguri
2022-04-12 23:59:59,7574.997009999999,5805.949482295633,9242.296736456281,AUTOMOTIVE_B-6128,Blue Dart Hub - Siliguri
2022-04-13 23:59:59,8563.996674999999,6200.50825366465,10778.82745688017,AUTOMOTIVE_B-6128,Blue Dart Hub - Siliguri
2022-04-14 23:59:59,9552.99634,6544.337453926259,12433.423259628695,AUTOMOTIVE_B-6128,Blue Dart Hub - Siliguri
