ds,yhat,yhat_lower,yhat_upper,Product,Warehouse
2022-04-07 23:59:59,-567.999108236,-567.9991156002008,-567.9990998163613,BOOKS_B-6298,Delhivery Warehouse - Nagpur
2022-04-08 23:59:59,-1360.998662354,-1360.9986882546198,-1360.9986350121274,BOOKS_B-6298,Delhivery Warehouse - Nagpur
2022-04-09 23:59:59,-2153.998216472,-2153.9982662076322,-2153.99816497563,BOOKS_B-6298,Delhivery Warehouse - Nagpur
2022-04-10 23:59:59,-2946.99777059,-2946.9978511717045,-2946.9976910223377,BOOKS_B-6298,Delhivery Warehouse - Nagpur
2022-04-11 23:59:59,-3739.997324708,-3739.997432424125,-3739.9972090281067,BOOKS_B-6298,Delhivery Warehouse - Nagpur
2022-04-12 23:59:59,-4532.996878826,-4532.997020390497,-4532.9967248400635,BOOKS_B-6298,Delhivery Warehouse - Nagpur
2022-04-13 23:59:59,-5325.996432944,-5325.996614401174,-5325.996240478407,BOOKS_B-6298,Delhivery Warehouse - Nagpur
