ds,yhat,yhat_lower,yhat_upper,Product,Warehouse
2022-04-08 23:59:59,-92.29156340312291,-229.9631067531033,50.98660732452728,BEVERAGES_C-0327,Delhivery Warehouse - Belgaum
2022-04-09 23:59:59,-395.8043781046842,-545.5704393761636,-242.67987690120418,BEVERAGES_C-0327,Delhivery Warehouse - Belgaum
2022-04-10 23:59:59,-699.3171928062454,-836.4333501080487,-553.1044275815839,BEVERAGES_C-0327,Delhivery Warehouse - Belgaum
2022-04-11 23:59:59,-1002.8300075078071,-1150.4768516486304,-839.972083563646,BEVERAGES_C-0327,Delhivery Warehouse - Belgaum
2022-04-12 23:59:59,-1306.3428222093683,-1457.8511285651314,-1160.0019556154964,BEVERAGES_C-0327,Delhivery Warehouse - Belgaum
2022-04-13 23:59:59,-1609.8556369109294,-1757.058649486378,-1452.7891385765124,BEVERAGES_C-0327,Delhivery Warehouse - Belgaum
2022-04-14 23:59:59,-1913.3684516124908,-2066.1777085090484,-1766.166931343947,BEVERAGES_C-0327,Delhivery Warehouse - Belgaum
