ds,yhat,yhat_lower,yhat_upper,Product,Warehouse
2022-04-08 23:59:59,253.07717499603567,219.1708024656742,287.8483921260242,PRODUCE_C-0438,Amazon FC - Chandigarh
2022-04-09 23:59:59,236.6298999940535,202.33878429080588,271.8865130918939,PRODUCE_C-0438,Amazon FC - Chandigarh
2022-04-10 23:59:59,220.1826249920713,182.31910756421075,253.0605015543943,PRODUCE_C-0438,Amazon FC - Chandigarh
2022-04-11 23:59:59,203.73534999008913,167.00149689329785,238.48329343304516,PRODUCE_C-0438,Amazon FC - Chandigarh
2022-04-12 23:59:59,187.28807498810696,152.612603870645,220.7368611935251,PRODUCE_C-0438,Amazon FC - Chandigarh
2022-04-13 23:59:59,170.84079998612475,135.61740487342928,205.57808076967606,PRODUCE_C-0438,Amazon FC - Chandigarh
2022-04-14 23:59:59,154.3935249841426,116.92504576459251,188.92051078530835,PRODUCE_C-0438,Amazon FC - Chandigarh
