ds,yhat,yhat_lower,yhat_upper,Product,Warehouse
2022-04-08 23:59:59,-566.1403401634207,-1497.7472272316713,291.94058618677,PLAYERS AND ELECTRONICS_C-0335,DTDC Hub - Mangalore
2022-04-09 23:59:59,-1980.528286745131,-2858.7255247452995,-1060.9748727079298,PLAYERS AND ELECTRONICS_C-0335,DTDC Hub - Mangalore
2022-04-10 23:59:59,-3394.9162333268414,-4258.132728930257,-2556.7399896661427,PLAYERS AND ELECTRONICS_C-0335,DTDC Hub - Mangalore
2022-04-11 23:59:59,-4809.30417990855,-5731.554895296821,-3930.340945539887,PLAYERS AND ELECTRONICS_C-0335,DTDC Hub - Mangalore
2022-04-12 23:59:59,-6223.692126490261,-7035.638319132576,-5348.371947783853,PLAYERS AND ELECTRONICS_C-0335,DTDC Hub - Mangalore
2022-04-13 23:59:59,-7638.080073071971,-8547.211182466648,-6723.620902467921,PLAYERS AND ELECTRONICS_C-0335,DTDC Hub - Mangalore
2022-04-14 23:59:59,-9052.468019653683,-9927.16073625594,-8167.864206590784,PLAYERS AND ELECTRONICS_C-0335,DTDC Hub - Mangalore
