ds,yhat,yhat_lower,yhat_upper,Product,Warehouse
2022-04-07 20:00:00,-488.1982423007163,-615.5953309300603,-349.44390684523125,HOME AND KITCHEN I_C-0121,Amazon FC - Udaipur
2022-04-08 20:00:00,-1046.953360442774,-1177.587379233961,-909.3269767931081,HOME AND KITCHEN I_C-0121,Amazon FC - Udaipur
2022-04-09 20:00:00,-1605.708478584832,-1743.0281616262478,-1470.3602583073139,HOME AND KITCHEN I_C-0121,Amazon FC - Udaipur
2022-04-10 20:00:00,-2164.46359672689,-2295.4945091152817,-2021.8980842876651,HOME AND KITCHEN I_C-0121,Amazon FC - Udaipur
2022-04-11 20:00:00,-2723.218714868948,-2863.042724933576,-2588.512297784944,HOME AND KITCHEN I_C-0121,Amazon FC - Udaipur
2022-04-12 20:00:00,-3281.9738330110063,-3418.4243000273327,-3141.285316089048,HOME AND KITCHEN I_C-0121,Amazon FC - Udaipur
2022-04-13 20:00:00,-3840.728951153064,-3974.3013691866854,-3712.1036579853712,HOME AND KITCHEN I_C-0121,Amazon FC - Udaipur
